# time[s]                    Y( ac225 )                  Y( fr221 )
 1.1744073163460613E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1747884029315316E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1751697126861680E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1755512505342633E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1759330213892250E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1763150301546645E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1766972817262553E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1770797809932128E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1774625328394785E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1778455421446921E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1782288137850019E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1786123526337480E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1789961635620327E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1793802514391953E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1797646211331945E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1801492775109106E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1805342254383673E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1809194697808800E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1813050154031328E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1816908671691866E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1820770299424208E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1824635085854123E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1828695492551271E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1832849233794629E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1837002969874630E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1841156700984452E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1845310427314635E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1849664233575692E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1854021012829661E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1858380854152248E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1862743847446475E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1867110083315071E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1871479653050583E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1875852648644349E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1880229162802562E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1884609288964958E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1888993121324114E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1893380754844387E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1897772285280057E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1902167809192443E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1906924223430642E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1911679826593777E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1916434671021050E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1921188807939571E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1925942287402487E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1930695158341571E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1935447468618738E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1940367254719229E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1945287039203885E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1950206822145419E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1955318430399504E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1960429951048797E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1965541386845673E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1970652740530878E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1976163852130335E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1981674963536739E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1987186074756870E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1992697185797354E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1998208296664523E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.2003719407364435E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.2009375552439381E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.2015031689094977E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.2020845808963192E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.2026659928075094E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.2032474046457349E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.2038288164135522E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.2044102281134095E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.2049916397476514E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.2055730513185248E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.2061544628281833E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.2067407636632257E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.2073270997369732E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.2079134722701972E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.2084998825208757E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.2090863317846356E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.2096826111854284E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.2102793042231395E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.2108764162794510E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.2114739525666343E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.2120719181273811E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.2126703178386049E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.2132691564151321E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.2138684384132570E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.2144681682341685E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.2150683501272628E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.2156689881933522E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.2162700863877787E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.2168716485234448E+00      0.0000000000000000E+00      0.0000000000000000E+00
