time_days,epsilon_dot_alpha,epsilon_dot_beta_minus,epsilon_dot
4.520284919824198e-05,18357833263452.0,3663978093976340.0,3682335927239792.0
4.5210797247992866e-05,18359656584637.504,3662774394008715.5,3681134050593353.0
4.52187466952551e-05,18361469688815.996,3661573510829741.0,3679934980518557.0
4.522669754027441e-05,18363283111793.773,3660372416498684.5,3678735699610478.5
4.5234649783296574e-05,18365096853626.863,3659171110978433.5,3677536207832060.5
4.5242603424567385e-05,18366910914371.36,3657969594231830.5,3676336505146202.0
4.525055846433271e-05,18368725294083.34,3656767866221752.5,3675136591515836.0
4.525851490283845e-05,18370539992818.87,3655565926911061.5,3673936466903880.5
4.526647274033054e-05,18372355010634.05,3654363776262575.0,3672736131273209.0
4.5274431977054964e-05,18374170347585.0,3653161414239163.0,3671535584586748.0
4.528239261325775e-05,18375986003727.785,3651958840803628.5,3670334826807356.5
4.529035464918499e-05,18377801979118.586,3650756055918828.5,3669133857897947.0
4.529831808508276e-05,18379618273813.504,3649553059547570.0,3667932677821383.5
4.530628292119724e-05,18381434887868.7,3648349851652670.5,3666731286540539.0
4.531424915777463e-05,18383251821340.312,3647146432196937.0,3665529684018277.5
4.532221679506118e-05,18385069074284.51,3645942801143159.5,3664327870217444.0
4.533018583330317e-05,18386886646757.477,3644738958454153.5,3663125845100911.0
4.533815627274693e-05,18388704538815.363,3643534904092698.0,3661923608631513.5
4.5346128113638834e-05,18390522750514.406,3642330638021560.5,3660721160772075.0
4.5354101356225306e-05,18392341281910.773,3641126160203537.0,3659518501485448.0
4.536207600075281e-05,18394160133060.695,3639921470601392.0,3658315630734452.5
4.537005204746783e-05,18395979304020.395,3638716569177875.0,3657112548481895.5
4.537802949661694e-05,18397787282190.723,3637514744315367.0,3655912531597557.5
4.538600834844671e-05,18399557810627.273,3636323495900207.0,3654723053710834.5
4.539398860320378e-05,18401328650376.984,3635132038027069.0,3653533366677446.0
4.540197026113484e-05,18403099801494.59,3633940370659103.0,3652343470460597.5
4.540995332248659e-05,18404871264034.848,3632748493759487.0,3651153365023522.0
4.5417937787505815e-05,18406643038052.504,3631556407291370.0,3649963050329422.5
4.542592365643931e-05,18408415123602.332,3630364111217910.0,3648772526341512.5
4.543391092953393e-05,18410187520739.1,3629171605502247.0,3647581793022986.0
4.544189960703657e-05,18411960229517.617,3627978890107515.0,3646390850337032.5
4.5449889689194175e-05,18413733249992.645,3626785964996853.5,3645199698246846.0
4.545788117625371e-05,18415506582219.008,3625592830133386.0,3644008336715605.0
4.546587406846222e-05,18417280226251.543,3624399485480228.5,3642816765706480.0
4.547386836606675e-05,18419054182145.043,3623205931000502.5,3641624985182647.5
4.548186406931444e-05,18420828449954.336,3622012166657303.5,3640432995107258.0
4.548986117845241e-05,18422603029734.293,3620818192413738.0,3639240795443472.5
