time_days,Nuclei:Pt197 top 1
106.78038238292471,1.650950264531973e-89
106.79915765498487,1.6508496155026985e-89
106.81793622831508,1.6507489610507136e-89
106.8367181034951,1.6506483011771405e-89
106.85550328110584,1.6505476358830948e-89
106.87429176172837,1.650446965169693e-89
106.89308354594266,1.650346289038057e-89
106.91187863433039,1.650245607489302e-89
106.93067702747179,1.6501449205245505e-89
106.94947872594864,1.6500442281449176e-89
106.96828373034137,1.6499435303515275e-89
106.98709204123206,1.6498428271454962e-89
107.00590365920132,1.6497421185279468e-89
107.02471858483099,1.6496414044999984e-89
107.04353681870305,1.6495406850627694e-89
107.06235836139845,1.649439960217385e-89
107.08118321349974,1.6493392299649622e-89
107.10001137558802,1.6492384943066277e-89
107.11884284824609,1.6491377532434975e-89
107.13767763205526,1.6490370067766995e-89
107.15651572759813,1.6489362549073525e-89
107.17535713545739,1.648835497636579e-89
107.19420185621466,1.6487347349655044e-89
107.21304989045322,1.6486339668952484e-89
107.23190123875494,1.6485331934269394e-89
107.25075590170329,1.648432414561696e-89
107.2696138798803,1.6483316303006476e-89
107.28847517386967,1.648230840644914e-89
107.30733978425366,1.6481300455956242e-89
107.32620771161578,1.6480292451539007e-89
107.34507895653962,1.647928439320867e-89
107.36395351960776,1.647827628097653e-89
107.38283140140439,1.6477268114853805e-89
107.40171260251228,1.647625989485179e-89
107.42059712351585,1.6475251620981725e-89
107.43948496499804,1.64742432932549e-89
107.45837612754349,1.6473234911682553e-89
107.47727061173534,1.6472226476275995e-89
107.49616841815806,1.6471217987046486e-89
107.51506954739618,1.6470209444005282e-89
107.53397400003317,1.6469200847163706e-89
107.55288177665416,1.6468192196533002e-89
107.57179287784282,1.6467183492124494e-89
107.59070730418452,1.6466174733949438e-89
107.60962505626313,1.646516592201916e-89
107.62854613466381,1.6464157056344943e-89
107.64747053997179,1.6463148136938065e-89
107.66639827277132,1.6462139163809866e-89
107.68532933364821,1.646113013697161e-89
107.70426372318686,1.6460121056434643e-89
107.72320144197334,1.6459111922210237e-89
107.74214249059229,1.645810273430975e-89
107.76108686962988,1.6457093492744453e-89
107.78003457967104,1.6456084197525704e-89
