time_days,Nuclei:Fr221 top 6
9.164507855983148,3379232.7227985677
9.166119258044606,3379488.041603708
9.167730943440057,3379743.401388746
9.169342912219319,3379998.802159601
9.170955164432222,3380254.243922192
9.1725677001286,3380509.7266824422
9.174180519358298,3380765.25044627
9.175793622171172,3381020.8152195993
9.177407008617083,3381276.421008351
9.179020678745884,3381532.067818447
9.180634632607493,3381787.7556558154
9.182248870251776,3382043.4845263786
9.18386339172864,3382299.2544360594
9.185478197087981,3382555.065390788
9.18709328637972,3382810.917396487
9.188708659653784,3383066.810459084
9.190324316960098,3383322.7445845073
9.191940258348593,3383578.7197786816
9.19355648386925,3383834.736047542
9.195172993572013,3384090.793397015
9.196789787506848,3384346.891833031
9.198406865723735,3384603.0313615203
9.200024228272655,3384859.211988414
9.201641875203606,3385115.433719644
9.203259806566589,3385371.6965611423
9.2048780224116,3385628.000518842
9.206496522788695,3385883.8125073845
9.208115307747883,3386135.964456142
9.209734377339204,3386388.156859571
9.211353731612707,3386640.389723509
9.212973370618444,3386892.6630537934
9.214593294406482,3387144.9768562657
9.216213503026896,3387397.331136764
9.217833996529766,3387649.725901128
9.219454774965167,3387902.161155198
9.22107583838323,3388154.6369048185
9.22269718683405,3388407.15315583
9.224318820367746,3388659.7099140747
9.22594073903444,3388912.307185398
9.227562942884271,3389164.944975641
9.229185431967379,3389417.62329065
9.23080820633392,3389670.34213627
9.232431266034038,3389923.1015183437
9.234054611117937,3390175.9014427243
9.235678241635778,3390428.741915254
9.23730215763775,3390681.622941783
9.238926359174052,3390934.544528157
9.240550846294887,3391187.506680228
9.242175619050471,3391440.509403843
9.243800677491024,3391693.5527048516
9.245426021666766,3391946.636589105
9.24705165162797,3392199.761062459
9.248677567424869,3392452.9261307614
9.250303769107722,3392706.1317998674
9.251930256726794,3392959.378075627
9.253557030332365,3393212.6649638973
9.255184089974719,3393465.9924705317
9.256811435704149,3393719.3606013847
9.258439067570958,3393972.7693623127
9.260066985625441,3394226.21875917
9.261695189917955,3394479.7087978176
9.263323680498807,3394733.2394841122
9.264952457418342,3394986.8108239104
9.266581520726904,3395240.422823073
