time_days,Nuclei:Hf181 top 19
3.151214298663917,1279452.7348334482
3.1517683789589817,1279437.666855125
3.152322556678386,1279422.6002771894
3.15287683183926,1279407.5311318368
3.1534312044587387,1279392.4594186433
3.1539856745539563,1279377.3851371845
3.154540242142053,1279362.3082870382
3.1550949072401657,1279347.2288677807
3.1556496698654497,1279332.146878988
3.1562045300350485,1279317.0623202363
3.1567594877661134,1279301.9751911028
3.1573145430757985,1279286.8854911625
3.157869695981261,1279271.7932199924
3.158424946499662,1279256.6983771687
3.1589802946481633,1279241.600962266
3.159535740443927,1279226.5009748624
3.1600912839041335,1279211.398414532
3.16064692504595,1279196.293280851
3.161202663886551,1279181.1855733958
3.161758500443115,1279166.0752917412
3.1623144347328234,1279150.9624354634
3.1628704667728615,1279135.8470041377
3.1634265965804165,1279120.7289973397
3.1639828241726784,1279105.6084146448
3.164539149566836,1279090.4852556288
3.1650955727800962,1279075.3595198665
3.1656520938296544,1279060.2312069328
3.166208712732711,1279045.1003164037
3.1667654295064738,1279029.9668478535
3.16732224416815,1279014.8308008572
3.167879156734953,1278999.6921749904
3.1684361672240953,1278984.5509698277
3.1689932756527903,1278969.4071849445
3.1695504820382707,1278954.2608199143
3.1701077863977534,1278939.1118743126
3.170665188748466,1278923.9603477141
3.1712226891076374,1278908.8062396934
3.1717802874925014,1278893.6495498244
3.172337983920294,1278878.4902776827
3.172895778408254,1278863.3284228414
3.1734536709736223,1278848.1639848757
3.1740116616336405,1278832.9969633594
3.174569750405566,1278817.827357867
3.1751279373066454,1278802.6551679717
3.1756862223541313,1278787.480393249
3.1762446055652833,1278772.3030332723
3.1768030869573596,1278757.1230876145
3.177361666547624,1278741.9405558512
3.1779203443533426,1278726.7554375548
3.1784791203917795,1278711.5677323001
3.179037994680218,1278696.3774396596
3.179596967235928,1278681.1884379112
3.1801560380761873,1278665.9982399563
3.180715207218278,1278650.8054542348
3.1812744746794843,1278635.6100803197
3.1818338404770947,1278620.4121177853
3.1823933046283983,1278605.2115662051
3.1829528671506835,1278590.0084251515
3.183512528061258,1278574.8026941987
3.184072287377417,1278559.594372919
3.1846321451164616,1278544.3834608863
3.1851921012956996,1278529.1699576734
3.185752155932438,1278513.9538628533
3.186312309043989,1278498.7351759996
3.186872560647668,1278483.5138966835
3.1874329107607924,1278468.2900244803
3.1879933594006786,1278453.0635589608
3.1885539065846604,1278437.8344996984
3.1891145523300604,1278422.6028462655
3.1896752966542086,1278407.3685982348
3.1902361395744374,1278392.1317551795
3.1907970811080837,1278376.8923166706
3.1913581212724864,1278361.6502822812
3.1919192600849886,1278346.405651584
3.192480497562929,1278331.158424151
3.1930418337236675,1278315.9085995543
3.1936032685845506,1278300.6561773657
3.194164802162932,1278285.4011571577
3.19472643447617,1278270.1435385016
3.1952881655416245,1278254.8833209707
3.1958499953766597,1278239.6205041348
3.196411923998643,1278224.3550875676
3.196973951424937,1278209.0870708397
3.197536077672926,1278193.8164535232
3.198098302759981,1278178.5432351897
3.1986606267034814,1278163.2674154104
3.199223049520808,1278147.9889937572
3.199785571229347,1278132.7079698013
3.2003481918464853,1278117.4243431133
3.2009109113896144,1278102.1381132654
3.2014737298761293,1278086.8492798288
3.2020366473234207,1278071.5578423743
3.202599663748901,1278056.2638004727
3.203162779169968,1278040.9671536959
3.2037259936040274,1278025.6679016135
3.2042893070684895,1278010.3660437977
3.204852719580766,1277995.0615798181
3.205416231158273,1277979.7545092462
3.2059798418184293,1277964.4448316526
3.2065435515786516,1277949.1325466076
3.2071073604563747,1277933.8214261327
3.2076712684690225,1277918.5096568973
3.2082352756340238,1277903.1952798988
3.2087993819688148,1277887.8782947073
3.2093635874908313,1277872.5587008926
3.209927892217514,1277857.2364980257
3.210492296166306,1277841.9116856768
3.2110567993546533,1277826.5842634162
3.2116214018,1277811.254230814
3.21218610351981,1277795.9215874404
3.212750904531532,1277780.5863328658
3.213315804852627,1277765.248466659
3.213880804500554,1277749.9079883914
3.214445903492779,1277734.5648976318
3.2150111018467693,1277719.2191939494
3.2155763995799957,1277703.8708769155
3.2161417967099273,1277688.519946099
3.2167072932540517,1277673.1664010696
3.217272889229844,1277657.8102413963
3.217838584654786,1277642.4514666493
3.2184043795463655,1277627.0900763976
3.218970273922071,1277611.7260702099
3.2195362677993944,1277596.3594476567
3.220102361195832,1277580.9902083066
3.2206685541288755,1277565.6183517287
3.22123484661604,1277550.2438774921
3.221801238674822,1277534.8667851654
3.2223677303227314,1277519.4870743179
3.222934321577277,1277504.1047445184
3.2235010124559738,1277488.7197953362
3.224067802976339,1277473.3322263386
3.2246346931558927,1277457.942037096
3.2252016830121573,1277442.549227176
3.2257687725626543,1277427.153796147
3.2263359618249234,1277411.755743578
3.2269032508164917,1277396.3550690373
3.227470639554895,1277380.9517720926
3.2280381280576713,1277365.545852313
3.2286057163423627,1277350.1373092663
3.229173404426514,1277334.7261425203
3.229741192327672,1277319.3123516438
3.230309080063383,1277303.8959362046
3.230877067651212,1277288.4768957698
3.2314451551087107,1277273.0552299083
3.2320133424534387,1277257.6309381872
3.2325816297029597,1277242.2040201752
3.23315001687484,1277226.7744754385
3.233718503986649,1277211.3423035464
3.2342870910559585,1277195.9075040647
3.2348557781003393,1277180.4700765621
3.235424565137381,1277165.030020606
3.23599345218466,1277149.5873357628
3.2365624392597607,1277134.143068043
3.2371315263802716,1277118.7009051358
3.237700713563784,1277103.2561130282
3.2382700008278915,1277087.8086912872
3.2388393881901907,1277072.358639479
3.239408875668283,1277056.9059571724
3.239978463279766,1277041.4506439338
3.2405481510422574,1277025.9926993297
3.241117938973361,1277010.5321229277
3.24168782709069,1276995.0689142942
3.2422578154118593,1276979.6030729958
3.2428279039544887,1276964.1345985995
3.2433980927362,1276948.6634906724
3.2439683817746183,1276933.18974878
3.2445387710873663,1276917.7133724901
3.245109260692086,1276902.234361368
3.245679850606406,1276886.7527149806
3.2462505408479654,1276871.2684328943
3.2468213314344037,1276855.7815146751
3.2473922223833642,1276840.2919598885
3.2479632137124943,1276824.7997681028
3.248534305439444,1276809.3049388814
3.249105497581866,1276793.807471792
3.2496767901574106,1276778.3073664003
3.250248183183749,1276762.804622271
3.2508196766785376,1276747.2992389712
3.251391270659442,1276731.7912160663
3.25196296514413,1276716.2805531216
3.252534760150274,1276700.7672497027
3.253106655695549,1276685.2513053755
3.253678651797632,1276669.7327197047
3.254250748474198,1276654.211492257
3.2548229457429443,1276638.6876225965
3.2553952436215505,1276623.161110289
3.255967642127708,1276607.6319548993
3.25654014127911,1276592.1001559931
3.257112741093453,1276576.5657131348
3.257685441588436,1276561.0286258897
3.258258242781763,1276545.4888938228
3.2588311446911327,1276529.9465164992
3.259404147334266,1276514.4014934832
3.2599772507288702,1276498.8538243393
3.2605504548926603,1276483.3035086326
3.2611237598433536,1276467.7505459276
3.2616971655986715,1276452.194935789
3.26227067217634,1276436.6366777811
3.2628442795940855,1276421.0757714678
3.2634179878696394,1276405.5122164143
3.2639917970207293,1276389.946012185
3.2645657070651044,1276374.3771583426
3.2651397180204986,1276358.8056544526
3.2657138299046555,1276343.2315000782
3.266288042735321,1276327.6557650093
3.266862356530245,1276312.0821387772
3.2674367713071795,1276296.5058617457
3.2680112870838816,1276280.9269334779
3.2685859038781033,1276265.345353538
3.2691606217076177,1276249.7611214903
3.269735440590185,1276234.1742368976
3.270310360543574,1276218.5846993253
3.270885381585554,1276202.9925083348
3.271460503733902,1276187.3976634908
3.2720357270063936,1276171.8001643566
3.2726110514208107,1276156.2000104964
3.273186476994931,1276140.5972014721
3.273762003746553,1276124.991736848
3.2743376316934607,1276109.3836161878
3.2749133608534478,1276093.7728390533
3.275489191244311,1276078.159405008
3.2760651228838484,1276062.5433136155
3.276641155789864,1276046.9245644382
3.277217289980164,1276031.3031570392
3.277793525472555,1276015.6790909811
3.278369862284846,1276000.0523658274
3.278946300434862,1275984.42298114
3.279522839940415,1275968.7909364812
3.2800994808193282,1275953.1562314148
3.280676223089425,1275937.5188655022
3.2812530667685333,1275921.878838306
3.2818300118744843,1275906.236149389
3.282407058425111,1275890.5907983137
3.282984206438246,1275874.9427846419
3.28356145593174,1275859.292107935
3.284138806923431,1275843.6387677563
3.2847162594311663,1275827.982763667
3.285293813472794,1275812.3240952296
3.285871469066168,1275796.6627620056
3.286449226229143,1275780.9987635568
3.2870270849795795,1275765.3320994456
3.287605045335339,1275749.6627692326
3.288183107314281,1275733.9907724808
3.288761270934286,1275718.3161087504
3.289339536213219,1275702.6387776039
3.289917903168956,1275686.9587786023
3.290496371819374,1275671.2761113066
3.291074942182354,1275655.5907752782
3.291653614275781,1275639.9027700792
3.292232388117541,1275624.21209527
3.29281126372552,1275608.5187504117
3.293390241117623,1275592.8227350647
3.2939693203117395,1275577.1240487914
3.2945485013257714,1275561.422691152
3.295127784177621,1275545.7186617074
3.2957071688851944,1275530.0119600177
3.2962866554664005,1275514.306449441
3.296866243939153,1275498.6002821804
3.297445934321361,1275482.8914423578
3.298025726630955,1275467.179929533
