time_days,Nuclei:Ir195 top 14
0.00038944449281301546,300133776.54065895
0.0003895129691205711,300268283.708454
0.0003895814574683654,300402814.3927347
0.0003896499578585157,300537368.5975895
0.0003897184702931391,300672670.4807057
0.0003897869947743537,300808266.7190091
0.0003898555313042775,300943886.66411126
0.0003899240798850291,301079530.3201323
0.0003899926405187273,301215197.69119465
0.0003900612132074913,301350888.7814199
0.0003901297979534411,301486603.59493184
0.0003901983947586963,301622342.1358537
0.00039026700362537774,301758104.4083104
0.00039033562455560576,301893890.41642666
0.00039040425755150184,302029700.16432893
0.0003904729026151872,302165533.6561431
0.0003905415597487841,302301390.8959975
0.0003906102289544143,302437271.888019
0.00039067891023420094,302573176.6363374
0.0003907476035902667,302709105.14508116
0.0003908163090247352,302845057.41838145
0.00039088502653972983,302981033.460368
0.00039095375613737524,303117033.27517366
0.0003910224978197954,303253056.8669294
0.0003910912515891156,303389104.2397693
0.00039116001744746073,303525175.3978262
0.0003912287953969567,303661270.3452353
0.00039129758543972955,303797389.0861314
0.00039136638757790524,303933531.6246499
0.0003914352018136109,304069697.9649279
0.0003915040281489734,304205888.11110234
0.0003915728665861205,304342102.0673115
0.0003916417171271798,304478339.8376937
0.0003917105797742798,304614601.42638874
0.0003917794545295488,304750886.8375362
0.0003918483413951161,304887196.0752774
0.0003919172403731109,305023529.1437534
0.00039198615146566297,305159886.04710686
0.00039205507467490226,305296266.78948027
0.00039212401000295955,305432671.3750178
0.00039219295745196545,305569099.8078632
0.0003922619170240515,305705552.0921624
0.00039233088872134893,305842028.2320603
0.00039239987254599003,305978528.23170394
0.0003924688685001069,306115052.09524006
0.00039253787658583255,306252311.9987059
0.00039260689680529977,306389876.1895797
0.00039267592916064246,306527464.4303236
0.000392744973653994,306665076.7251172
0.00039281403028748905,306802713.0781423
0.0003928830990632621,306940373.49358
0.00039295217998344787,307078057.9756123
0.0003930212730501821,307215766.52842313
0.00039309037826560023,307353499.1561956
0.0003931594956318386,307491255.8631149
0.00039322862515103345,307629036.6533656
0.00039329776682532196,307766841.5311344
0.000393366920656841,307904670.5006072
0.00039343608664772853,308042523.56597227
0.00039350526480012225,308180400.73141694
0.0003935744551161608,308318302.00113064
0.00039364365759798263,308456227.37930256
0.0003937128722477273,308594176.8701235
0.0003937820990675337,308732150.47778374
