time_days,Nuclei:Pb212 top 16
0.5953598618664183,81452476.7304071
0.5954645444226229,81428006.43481101
0.5955692453852361,81403537.6819967
0.5956739647574967,81379070.47302979
0.5957787025426403,81354604.8089766
0.5958834587439046,81330140.69090329
0.5959882333645278,81305711.42939305
0.5960930264077485,81281321.1715812
0.596197837876806,81256932.45209496
0.59630266777494,81232545.27199645
0.59640751610539,81208159.63234794
0.5965123828713991,81183775.53421105
0.5966172680762076,81159392.97864838
0.5967221717230577,81135011.96672207
0.5968270938151923,81110632.4994945
0.5969320343558542,81086254.57802802
0.5970369933482875,81061878.20338507
0.5971419707957366,81037503.37662822
0.5972469667014465,81013130.09881991
0.5973519810686615,80988758.37102312
0.5974570139006298,80964388.19429992
0.5975620652005972,80940019.56971332
0.5976671349718108,80915652.4983261
0.5977722232175184,80891286.9812011
0.5978773299409685,80866923.01940121
0.59798245514541,80842560.6139894
0.5980875988340925,80818199.76602863
0.5981927610102649,80793840.4765822
0.59829794167718,80769482.74671279
0.5984031408380881,80745126.57748377
0.598508358496241,80720771.96995841
0.5986135946548908,80696418.92519996
0.5987188493172909,80672067.44427173
0.5988241224866945,80647717.52823718
0.5989294141663558,80623369.17815973
0.5990347243595284,80599022.3951031
0.5991400530694698,80574677.18013038
0.5992454002994346,80550333.5343054
0.5993507660526792,80525991.45869187
0.5994561503324606,80501650.95435347
0.5995615531420364,80477312.02235399
0.5996669744846644,80452974.6637573
0.5997724143636038,80428638.8796272
0.5998778727821135,80404304.67102766
0.5999833497434522,80379972.03902297
0.6000888452508827,80355640.98467661
0.6001943593076646,80331354.35318823
0.6002998919170598,80307096.776406
0.6004054430823301,80282840.76952656
0.6005110128067385,80258586.33360982
0.6006166010935479,80234333.4697158
0.6007222079460224,80210082.17890455
0.6008278333674252,80185832.46223633
0.6009334773610236,80161584.32077086
0.601039139930082,80137337.7555686
0.6011448210778665,80113092.7676897
0.6012505208076439,80088849.35819456
0.6013562391226813,80064607.52814348
0.6014619760262468,80040367.27859686
0.6015677315216087,80016128.6106152
0.6016735056120359,79991891.52525897
0.6017792983007973,79967656.023589
0.6018851095911648,79943422.10666537
0.6019909394864081,79919189.77554905
0.6020967879897988,79894959.03130071
0.6022026551046086,79870729.87498112
0.6023085408341099,79846502.30765113
0.6024144451815757,79822276.33037156
0.60252036815028,79798051.94420336
0.6026263097434953,79773829.15020774
0.6027322699644989,79749607.94944526
0.6028382488165651,79725388.34297717
0.6029442463029696,79701170.33186468
0.603050262426989,79676953.91716886
0.6031562971919004,79652739.09995103
0.6032623506009814,79628525.88127239
0.6033684226575102,79604314.26219429
0.6034745133647645,79580104.24377841
0.6035806227260261,79555895.82708554
0.6036867507445733,79531689.01317751
0.6037928974236871,79507483.80311584
0.6038990627666484,79483280.19796206
0.6040052467767391,79459078.19877777
0.604111449457241,79434877.80662473
0.6042176708114375,79410679.02256459
0.6043239108426116,79386483.6070543
0.6044301695540463,79362357.92317991
0.6045364469490284,79338233.83954534
0.604642743030842,79314111.35720845
0.6047490578027727,79289990.4772269
0.6048553912681068,79265871.2006584
0.6049617434301311,79241753.52856076
0.6050681142921334,79217637.46199168
0.6051745038574013,79193523.00200906
0.6052809121292226,79169410.14967108
0.6053873391108886,79145298.90603514
0.6054937848056879,79121189.27215955
0.6056002492169109,79097081.24910223
0.6057067323478487,79072974.83792143
0.6058132342017923,79048870.03967512
0.6059197547820343,79024766.85542165
0.6060262940918671,79000665.28621915
0.606132852134583,78976565.33312614
0.6062394289134778,78952466.99720049
0.606346024431845,78928370.27950081
0.6064526386929795,78904275.18108551
0.6065592717001768,78880181.70301305
0.6066659234567331,78856089.84634197
0.606772593965945,78831999.61213082
0.60687928323111,78807911.00143817
0.6069859912555257,78783824.01532273
0.6070927180424898,78759738.65484336
0.6071994635953032,78735654.92105837
0.6073062279172645,78711572.81502678
0.607413011011674,78687492.33780743
0.6075198128818324,78663413.4904592
0.6076266335310412,78639336.27404097
0.607733472962602,78615260.6896118
0.6078403311798177,78591186.73823056
0.6079472081859901,78567114.42095667
0.608054103984425,78543043.73884872
0.6081610185784257,78518974.69296609
0.608267951971297,78494907.28436798
0.6083749041663443,78470841.5141136
0.6084818751668736,78446777.38326228
0.6085888649761916,78422764.52197553
0.6086958735976052,78398773.10154495
0.6088029010344224,78374783.31256376
0.6089099472899502,78350795.15608744
0.6090170123674998,78326808.6331707
0.6091240962703797,78302823.74486896
0.6092311990018999,78278840.4922377
0.6093383205653711,78254858.87633215
0.6094454609641043,78230878.89820772
0.6095526202014117,78206900.55891989
0.6096597982806053,78182923.8595241
0.6097669952049973,78158948.80107616
0.6098742109779033,78134975.38463107
0.6099814456026365,78111003.61124472
0.6100886990825114,78087033.48197281
0.6101959714208435,78063064.99787101
0.6103032626209486,78039098.159995
0.6104105726861432,78015132.96940063
0.6105179016197444,77991169.42714371
0.6106252494250687,77967207.53428032
0.6107326161054365,77943247.29186584
0.6108400016641656,77919288.70095652
0.6109474061045753,77895331.7626084
0.6110548294299858,77871376.47787735
0.6111622716437174,77847422.84781958
0.6112697327490914,77823470.87349112
0.6113772127494294,77799520.55594818
0.6114847116480538,77775571.89624695
0.6115922294482864,77751624.89544386
0.6116997661534529,77727679.55459473
0.6118073217668762,77703735.8747561
0.611914896291881,77679793.85698436
0.6120224897317926,77655853.5023359
0.6121301020899367,77631914.81186709
0.6122377333696397,77607977.78663453
0.6123453835742289,77584042.4276946
0.6124530527070303,77560108.7361042
0.6125607407713746,77536176.71291941
0.6126684477705893,77512246.3591971
0.6127761737080036,77488364.1846427
0.6128839185869478,77464506.15713967
0.6129916824107521,77440649.79104935
0.6130994651827478,77416795.08742422
0.6132072669062664,77392942.04731688
0.613315087584639,77369090.67178023
0.6134229272212008,77345240.96186641
0.6135307858192841,77321392.91862833
0.6136386633822231,77297546.5431187
0.6137465599133519,77273701.83639039
0.6138544754160062,77249858.79949611
0.6139624098935215,77226017.43348876
0.6140703633492343,77202177.73942119
0.6141783357864815,77178339.71834633
0.6142863272085994,77154503.37131743
0.6143943376189287,77130668.69938695
0.6145023670208066,77106835.70360819
0.6146104154175726,77083004.38503419
0.6147184828125665,77059174.74471813
0.6148265692091288,77035346.78371312
0.6149346746106007,77011520.5030723
0.6150427990203237,76987695.90384896
0.6151509424416389,76963872.9870966
0.6152591048778914,76940051.75386795
0.6153672863324235,76916232.20521668
0.6154754868085792,76892414.34219614
0.6155837063097032,76868598.16585967
0.6156919448391402,76844783.6772608
0.6158002024002366,76820970.87745297
0.6159084789963385,76797159.76748966
0.6160167746307927,76773350.34842446
0.6161250893069457,76749542.62131123
0.616233423028148,76725736.58720303
