time_days,Nuclei:Pu241 top 4
0.003903619656713874,21463.82361896485
0.0039043060329886103,21471.377475900408
0.0039049925299493807,21478.932660983133
0.003905679147617413,21486.489174446615
0.003906365886013927,21494.047016524364
0.003907052745160153,21501.606187449983
0.003907739725077316,21509.16668745706
0.003908426825786659,21516.728516779353
0.003909114047309419,21524.29167565054
0.003909801389666837,21531.856164304358
0.003910488852880157,21539.421982974593
0.0039111764369706365,21546.989131895145
0.003911864141959523,21554.557611299857
0.0039125519678680784,21562.12742142266
0.0039132399147175576,21569.698562497466
0.0039139279825292335,21577.27103475836
0.003914616171324373,21584.85938495955
0.003915304481124246,21592.457841692114
0.003915992911950131,21600.05763441343
0.003916681463823303,21607.65876335836
0.003917370136765054,21615.261228761916
0.0039180589307966675,21622.865030859022
0.003918747845939435,21630.47016988469
0.003919436882214649,21638.076646073947
0.003920126039643613,21645.68445966196
0.003920815318247629,21653.293610883826
0.0039215047180480005,21660.904099974716
0.003922194239066036,21668.51592716982
0.003922883881323055,21676.12909270449
0.003923573644840372,21683.74359681396
0.003924263529639309,21691.359439733587
0.003924953535741187,21698.976621698726
0.003925643663167341,21706.59514294488
0.0039263339119391,21714.215003707453
0.003927024282077803,21721.83620422199
0.003927714773604784,21729.458744723983
0.003928405386541394,21737.0826254491
0.003929096120908978,21744.707846632944
0.0039297869767288855,21752.334408511186
0.003930477954022474,21759.962311319538
0.003931169052811097,21767.591555293722
0.003931860273116124,21775.222140669626
0.003932551614958919,21782.85406768304
0.003933243078360852,21790.487336569844
0.003933934663343293,21798.121947565927
0.003934626369927625,21805.757900907338
0.003935318198135228,21813.395196830046
0.003936010147987487,21821.03383557008
0.003936702219505786,21828.673817363506
0.003937394412711526,21836.31514244653
0.003938086727626098,21843.957811055276
0.003938779164270905,21851.601823425983
0.003939471722667344,21859.247179794842
0.003940164402836834,21866.893880398242
0.003940857204800779,21874.541925472466
0.003941550128580595,21882.19131525392
0.0039422431741976995,21889.84204997898
0.0039429363416735195,21897.494129884166
0.00394362963102948,21905.14755520597
0.003944323042287011,21912.80232618093
0.003945016575467546,21920.48002711857
0.00394571023059252,21928.160276874514
0.0039464040076833806,21935.84187699999
0.0039470979067615704,21943.524827732374
0.0039477919278485376,21951.20912930913
0.003948486070965733,21958.894781967734
0.003949180336134619,21966.581785945782
0.003949874723376654,21974.27014148083
0.0039505692327133,21981.959848810497
0.003951263864166023,21989.650908172418
0.003951958617756302,21997.343319804393
0.003952653493505608,22005.037083944113
0.003953348491435422,22012.73220082938
0.003954043611567221,22020.428670697984
0.0039547388539225015,22028.1264937879
0.003955434218522748,22035.825670336984
0.003956129705389458,22043.526200583216
0.003956825314544124,22051.22808476454
0.003957521046008255,22058.931323119094
0.003958216899803354,22066.635915884923
0.003958912875950931,22074.341863300142
0.003959608974472494,22082.049165602886
0.003960305195389569,22089.757823031458
0.003961001538723673,22097.46783582406
0.00396169800449633,22105.179204219003
0.003962394592729069,22112.8919284546
0.003963091303443418,22120.606008769206
0.003963788136660921,22128.321445401318
0.003964485092403114,22136.038238589354
0.00396518217069154,22143.756388571826
0.003965879371547743,22151.475895587242
0.003966576694993284,22159.196759874278
0.00396727414104971,22166.9189816715
0.003967971709738582,22174.642561217603
0.003968669401081459,22182.367498751253
0.003969367215099914,22190.093794511286
0.003970065151815514,22197.821448736464
0.003970763211249833,22205.550461665614
0.003971461393424446,22213.280833537607
0.003972159698360939,22221.012564591427
0.003972858126080896,22228.745655066003
0.003973556676605905,22236.48010520034
0.0039742553499575554,22244.21591523346
0.003974954146157453,22251.964227835157
0.003975653065227192,22259.725007853336
0.003976352107188377,22267.487152399724
0.003977051272062618,22275.25066171424
0.003977750559871522,22283.015536036753
0.003978449970636712,22290.781775607356
0.003979149504379804,22298.549380666045
0.0039798491611224215,22306.318351452894
0.003980548940886188,22314.088688207972
0.003981248843692741,22321.86039117153
0.003981948869563712,22329.633460583715
0.003982649018520739,22337.407896684777
0.003983349290585462,22345.183699714973
0.003984049685779533,22352.960869914696
0.003984750204124599,22360.739407524296
0.003985450845642313,22368.51931278416
0.003986151610354331,22376.300585934732
0.003986852498282318,22384.08322721657
0.003987553509447938,22391.86723687017
0.003988254643872861,22399.65261513614
0.003988955901578754,22407.439362255034
0.003989657282587301,22415.227478467634
0.00399035878692018,22423.016964014572
0.003991060414599074,22430.80781913661
0.003991762165645672,22438.600044074563
0.003992464040081661,22446.3936390692
0.0039931660379287455,22454.188604361487
0.00399386815920862,22461.984940192313
0.003994570403942988,22469.782646802643
0.003995272772153554,22477.581724433432
0.003995975263862034,22485.382173325812
0.003996677879090142,22493.183993720846
0.003997380617859594,22500.98718585964
0.003998083480192111,22508.79174998335
0.003998786466109424,22516.597686333258
0.003999489575633261,22524.404995150595
0.004000192808785355,22532.213676676663
0.004000896165587442,22540.02373115277
0.004001599646061267,22547.835158820373
0.004002303250228575,22555.64795992086
0.004003006978111114,22563.462134695714
0.004003710829730632,22571.277683386408
0.004004414805108896,22579.09460623457
0.00400511890426766,22586.918807116497
0.00400582312722869,22594.76019265933
0.0040065274740137494,22602.60295690224
0.0040072319446446195,22610.447100087727
0.0040079365391430715,22618.292622458182
0.004008641257530884,22626.139524256087
0.004009346099829842,22633.98780572397
0.00401005106606173,22641.837467104364
0.004010756156248344,22649.688508639952
0.004011461370411477,22657.540930573352
0.004012166708572928,22665.394733147263
0.004012872170754495,22673.249916604374
0.004013577756977994,22681.106481187562
0.004014283467265229,22688.964427139585
0.004014989301638016,22696.823754703357
0.004015695260118169,22704.684464121707
0.0040164013427275175,22712.54655563767
0.004017107549487882,22720.410029494225
0.004017813880421094,22728.274885934385
0.004018520335548983,22736.14112520121
0.004019226914893392,22744.008747537897
0.00401993361847616,22751.87775318757
0.004020640446319131,22759.748142393437
0.004021347398444151,22767.619915398707
0.004022054474873079,22775.493072446763
0.004022761675627768,22783.3676137809
0.004023469000730079,22791.2435396445
0.004024176450201875,22799.120850280968
0.004024884024065022,22806.99954593375
0.004025591722341398,22814.879626846436
0.004026299545052874,22822.761093262525
0.0040270074922213305,22830.64394542561
0.004027715563868649,22838.528183579303
0.004028423760016721,22846.413807967347
0.004029132080687435,22854.300818833428
0.004029840525902687,22862.189216421324
0.004030549095684371,22870.07900097479
0.004031257790054397,22877.970172737758
0.004031966609034668,22885.86273195409
0.004032675552647094,22893.75667886772
0.004033384620913586,22901.65201372258
0.004034093813856069,22909.54873676278
0.004034803131496461,22917.44684823234
0.0040355125738566885,22925.35159138519
0.004036222140958677,22933.27365978769
0.004036931832824367,22941.197121075893
0.004037641649475693,22949.121975494614
0.0040383515909345954,22957.048223288817
0.004039061657223018,22964.975864703465
0.004039771848362908,22972.90489998353
0.004040482164376225,22980.835329374182
0.004041192605284922,22988.767153120476
0.004041903171110958,22996.700371467563
0.0040426138618762965,23004.6349846606
0.00404332467760291,23012.57099294488
0.004044035618312768,23020.508396565667
0.004044746684027847,23028.447195768276
0.004045457874770122,23036.387390798045
0.004046169190561585,23044.328981900446
0.004046880631424219,23052.271969320907
0.004047592197380016,23060.21635330489
0.004048303888450968,23068.16213409794
0.00404901570465908,23076.10931194569
0.0040497276460263526,23084.057887093735
0.00405043971257479,23092.007859787736
0.004051151904326403,23099.959230273365
0.004051864221303212,23107.911998796466
0.004052576663527231,23115.866165602783
0.004053289231020483,23123.821730938165
0.004054001923804991,23131.778695048455
0.00405471474190279,23139.737058179657
0.004055427685335913,23147.696820577712
0.004056140754126397,23155.657982488618
0.0040568539482962835,23163.620544158442
0.004057567267867614,23171.58450583324
0.004058280712862445,23179.549867759233
0.004058994283302828,23187.51663018259
0.004059707979210819,23195.48479334951
