time_days,Nuclei:Lu177 top 13
2.737786866116128e-05,0.0003896149483572499
2.7382682531659527e-05,0.00039083100290048325
2.7387497248584116e-05,0.0003920472712621898
2.739231281208387e-05,0.00039326375347996357
2.739712922230765e-05,0.0003944804495914071
2.7401946479404333e-05,0.0003956973596341287
2.740676458352282e-05,0.00039691448364574406
2.741158353481205e-05,0.00039813182166387434
2.7416403333420976e-05,0.0003993493737261482
2.7421223979498587e-05,0.00040056713987020114
2.7426045473193893e-05,0.0004018029716279106
2.7430867814655934e-05,0.0004030837039631751
2.743569100403377e-05,0.00040436466148918325
2.744051504147649e-05,0.00040564584424553226
2.744533992713321e-05,0.0004069272522718223
2.7450165661153083e-05,0.0004082088856076645
2.745499224368526e-05,0.0004094907442926711
2.7459819674878945e-05,0.0004107728283664686
2.7464647954883355e-05,0.00041205513786868406
2.7469477083847743e-05,0.00041333767283895605
2.7474307061921376e-05,0.0004146204333169269
2.7479137889253556e-05,0.0004159034193422487
2.7483969565993607e-05,0.0004171866309545776
2.7488802092290886e-05,0.00041847006819358055
2.749363546829476e-05,0.0004197537310989262
2.7498469694154654e-05,0.0004210376197102962
2.750330477001998e-05,0.0004223217340673743
2.75081406960402e-05,0.0004236060742098533
2.75129774723648e-05,0.00042489064017743155
2.751781509914329e-05,0.0004261754320098187
2.7522653576525198e-05,0.00042751086444986323
2.7527492904660097e-05,0.0004288617383189055
2.7532333083697573e-05,0.0004302128497116516
2.7537174113787235e-05,0.00043156419866986274
2.7542015995078727e-05,0.0004329157852353105
2.754685872772172e-05,0.0004342676094497737
2.7551702311865908e-05,0.00043561967135503807
2.7556546747661002e-05,0.0004369719709928953
2.756139203525676e-05,0.00043832450840514527
2.7566238174802946e-05,0.0004396772836335975
2.757108516644936e-05,0.00044103029672006445
2.7575933010345835e-05,0.0004423835477063708
2.7580781706642217e-05,0.00044373703663434436
2.7585631255488383e-05,0.0004450907635458225
2.759048165703424e-05,0.00044644472848264974
2.7595332911429712e-05,0.00044779893148667676
2.7600185018824768e-05,0.00044915337259976543
2.7605037979369382e-05,0.0004505080518637789
2.7609891793213568e-05,0.000451862969320592
2.7614746460507366e-05,0.0004532315428936047
2.761960198140083e-05,0.00045465530263477866
2.762445835604406e-05,0.00045607931271514937
2.7629315584587152e-05,0.00045750357317873066
2.7634173667180273e-05,0.000458928084069552
2.7639032603973572e-05,0.0004603528454316409
2.764389239511725e-05,0.0004617778573090403
2.7648753040761536e-05,0.0004632031197457987
2.765361454105666e-05,0.00046462863278596796
2.7658476896152917e-05,0.000466054396473615
2.7663340106200587e-05,0.0004674804108528083
2.7668204171350017e-05,0.00046890667596762936
2.7673069091751537e-05,0.00047033319186216046
2.7677934867555544e-05,0.0004717599585805
2.768280149891244e-05,0.000473186976166748
2.768766898597265e-05,0.0004746142446650134
2.7692537328886648e-05,0.00047604176411941603
2.7697406527804905e-05,0.0004774695345740797
2.770227658287794e-05,0.0004788975560731363
2.7707147494256288e-05,0.00048032582866072953
2.7712019262090517e-05,0.0004818055111896797
2.7716891886531216e-05,0.0004833071473892043
2.7721765367729004e-05,0.0004848090476209123
2.772663970583453e-05,0.0004863112119312271
2.7731514900998455e-05,0.00048781364036658
2.7736390953371476e-05,0.0004893163329734118
2.7741267863104325e-05,0.000490819289798173
2.7746145630347752e-05,0.0004923225108873195
2.7751024255252523e-05,0.0004938259962873166
2.7755903737969457e-05,0.0004953297460446397
2.776078407864937e-05,0.0004968337602057675
2.776566527744312e-05,0.0004983380388171899
2.77705473345016e-05,0.0004998425819254078
2.7775430249975717e-05,0.0005013473895769256
2.778031402401639e-05,0.0005028524618182551
2.7785198656774603e-05,0.0005043577986959227
2.779008414840133e-05,0.0005058634002564566
2.7794970499047596e-05,0.0005073692665463967
2.7799857708864435e-05,0.0005088753976122888
2.780474577800292e-05,0.0005103817935006893
2.7809634706614148e-05,0.0005119525908703112
2.7814524494849243e-05,0.0005135355305950012
2.781941514285934e-05,0.000515118748647436
2.7824306650795627e-05,0.000516702245076557
