time_days,Nuclei:Te129 top 9
0.00012184603451989593,319723.8908957216
0.00012186745879649554,319897.61167303304
0.0001218888868401412,320071.3629957625
0.00012191031865149533,320245.1448692816
0.00012193175423122036,320418.9572989616
0.00012195319357997898,320592.80029017583
0.00012197463669843376,320766.6738482968
0.00012199608358724768,320940.57797870046
0.00012201753424708354,321114.51268676104
0.00012203898867860453,321288.4779778563
0.00012206044688247371,321462.4738573623
0.0001220819088593545,321636.5003306588
0.0001221033746099102,321810.55740312394
0.00012212484413480444,321984.6450801391
0.00012214631743470074,322158.7633670842
0.00012216779451026298,322332.91226934263
0.00012218927536215496,322508.18062461354
0.00012221075999104073,322684.149069694
0.00012223224839758435,322860.14845540107
0.0001222537405824501,323036.1787871761
0.00012227523654630227,323212.2400704592
0.0001222967362898054,323388.3323106934
0.000122318239813624,323564.4555133218
0.00012233974711842275,323740.609683788
0.00012236125820486656,323916.7948275378
0.0001223827730736202,324093.0109500164
0.0001224042917253489,324269.25805667165
0.0001224258141607177,324445.53615295084
0.00012244734038039195,324621.8452443036
0.00012246887038503695,324798.1853361788
0.00012249040417531835,324974.5564340285
0.00012251194175190165,325150.95854330325
0.0001225334831154527,325327.39166945685
0.0001225550282666373,325503.8558179422
0.00012257657720612147,325680.3509942146
0.00012259812993457123,325856.87720372906
0.00012261968645265297,326033.43445194303
0.00012264124676103282,326210.022744313
0.00012266281086037738,326386.64208629844
0.00012268437875135314,326563.2924833581
0.00012270595043462683,326739.9739409529
0.00012272752591086522,326916.68646454375
0.00012274910518073526,327093.4300595936
0.00012277068824490399,327270.20473156555
0.00012279227510403847,327447.01048592315
0.0001228138657588061,327623.84732813266
0.00012283546020987415,327800.71526365937
0.00012285705845791026,327977.6142979714
0.0001228786605035819,328154.54443653574
0.000122900266347557,328331.5056848227
0.0001229218759905032,328508.7847283974
0.0001229434894330887,328687.5774940072
0.0001229651066759814,328866.4016968449
0.00012298672771984964,329045.25734243944
0.00012300835256536164,329224.14443631837
0.00012302998121318598,329403.06298401224
0.0001230516136639911,329582.0129910506
0.00012307324991844577,329760.99446296605
0.0001230948899772187,329940.00740529
0.00012311653384097893,330119.05182355683
0.00012313818151039532,330298.1277232999
0.0001231598329861372,330477.2351100558
0.0001231814882688737,330656.37398935977
0.00012320314735927434,330835.5443667504
0.00012322481025800846,331014.7462477646
0.00012324647696574585,331193.979637943
0.00012326814748315617,331373.24454282527
0.0001232898218109092,331552.5409679521
0.00012331149994967508,331731.86891886673
0.00012333318190012375,331911.22840111156
0.00012335486766292556,332090.6194202314
0.00012337655723875069,332270.0419817705
0.00012339825062826972,332449.49609127606
0.00012341994783215314,332628.98175429413
