time_days,Nuclei:I132 top 2
0.00033169040076382343,83829.33410221133
0.0003317487221274969,83865.11029530408
0.0003318070537458578,83900.89277893293
0.0003318653956207096,83936.68155420414
0.0003319237477538555,83972.47662222378
0.0003319821101470994,84008.27798409841
0.00033204048280224504,84044.08564093463
0.00033209886572109715,84079.89959383933
0.00033215725890546014,84115.71984391955
0.000332215662357139,84151.54639228237
0.0003322740760779392,84187.37924003544
0.0003323325000696662,84223.21838828617
0.00033239093433412613,84259.06383814257
0.000332449378873125,84294.91559071247
0.0003325078336884697,84330.77364710424
0.0003325662987819669,84366.63800842615
0.0003326247741554239,84402.50867578688
0.00033268325981064816,84438.38565029512
0.00033274175574944773,84474.26893306
0.00033280026197363046,84510.15852519053
0.00033285877848500514,84546.05442779626
0.0003329173052853803,84582.19827664338
0.00033297584237656537,84618.50578566361
0.0003330343897603695,84654.81967864126
0.00033309294743860267,84691.13995669903
0.0003331515154130748,84727.4666209594
0.00033321009368559646,84763.79967254544
0.0003332686822579781,84800.13911258007
0.000333327281132031,84836.48494218671
0.0003333858903095663,84872.8371624887
0.000333444509792396,84909.19577460988
0.00033350313958233177,84945.56077967396
0.0003335617796811859,84981.93217880506
0.0003336204300907713,85018.30997312751
0.0003336790908129006,85054.6941637657
0.0003337377618493873,85091.08475184435
0.0003337964432020448,85127.48173848822
0.0003338551348726872,85163.88512482251
0.0003339138368631285,85200.29491197235
0.00033397254917518344,85236.7111010633
0.0003340312718106667,85273.13369322088
0.0003340900047713936,85309.56268957112
0.0003341487480591795,85345.99809123986
0.0003342075016758404,85382.43989935354
0.00033426626562319217,85418.88811503845
0.0003343250399030516,85455.34273942136
0.00033438382451723503,85491.80377362897
0.00033444261946756005,85528.27121878848
0.0003345014247558436,85564.74507602693
0.0003345602403839038,85601.22534647197
0.00033461906635355837,85637.71203125104
0.000334677902666626,85674.20513149214
0.0003347367493249252,85710.70464832321
0.00033479560633027487,85747.21058287242
0.0003348544736844946,85783.72293626833
0.0003349133513894038,85820.2417096394
0.00033497223944682267,85856.76690411463
0.0003350311378585712,85893.29852082286
0.00033509004662647034,85929.83656089348
0.0003351489657523407,85966.38102545579
0.00033520789523800386,86002.9319156395
0.00033526683508528106,86039.48923257433
0.00033532578529599444,86076.05297739038
0.000335384745871966,86112.96842339131
0.0003354437168150186,86149.95742605857
0.00033550269812697463,86186.95293251026
0.0003355616898096577,86223.95494389022
0.00033562069186489097,86260.96346134193
0.0003356797042944985,86297.9784860096
0.0003357387271003042,86335.0000190372
0.0003357977602841328,86372.02806156929
0.00033585680384780873,86409.06261475016
0.00033591585779315747,86446.10367972484
0.00033597492212200403,86483.15125763812
0.0003360339968361746,86520.20534963532
0.0003360930819374949,86557.26595686171
0.0003361521774277913,86594.33308046279
0.0003362112833088908,86631.40672158453
0.00033627039958262003,86668.4868813727
