Epsilon_beta,Time [Days]
23384474.857534133,17.716025473621475
23370973.979465857,17.719140495226306
23357477.332742207,17.722256064547647
23343984.917242136,17.7253721816818
23330496.732844464,17.728488846725053
23317012.779427104,17.731606059773814
23303533.056868024,17.73472382092441
23290057.56504467,17.737842130273204
23276586.303834077,17.740960987916598
23263119.2731129,17.744080393950988
23249656.47275739,17.747200348472802
23236197.902643416,17.750320851578483
23222743.562646437,17.75344190336449
23209293.452641692,17.75656350392726
23195847.572503567,17.759685653363356
23182405.92210651,17.76280835176925
23168968.501324352,17.76593159924147
23155535.310030706,17.769055395876556
23142106.348098602,17.772179741771073
23128681.615400784,17.775304637021588
23115261.111809596,17.778430081724704
23101844.837197103,17.781556075976994
23088432.791434538,17.784682619875156
23075057.08416774,17.7878097135158
23061739.788163494,17.79093735699558
23048426.673624735,17.794065550411183
23035117.740428433,17.797194293859306
23021812.98845114,17.800323587436655
23008512.417569067,17.803453431239962
22995216.027658112,17.806583825365944
22981923.818593442,17.809714769911427
22968635.790250156,17.812846264973157
22955351.94250294,17.81597831064794
22942072.275225997,17.81911090703258
22928796.788293168,17.822244054223916
22915525.481577944,17.825377752318794
22902258.35495338,17.82851200141408
22888995.40829217,17.831646801606656
22875736.641466707,17.83478215299339
22862482.054348692,17.83791805567127
22849231.64680971,17.841054509737187
22835985.418720923,17.844191515288095
22822743.369953092,17.847329072420965
22809505.50037651,17.850467181232784
22796271.8098612,17.85360584182055
22783042.298276696,17.85674505428128
22769816.965492345,17.859884818711983
22756595.811376646,17.863025135209774
22743378.835798174,17.86616600387169
22730166.03862493,17.869307424794826
22716957.419724535,17.872449398076274
22703752.978964277,17.875591923813165
22690552.716210973,17.878735002102633
22677356.63133109,17.88187863304184
22664164.72419071,17.885022816727954
22650976.994655665,17.88816755325813
22637793.44259098,17.891312842729644
22624614.06786168,17.894458685239687
22611438.870332345,17.897605080885498
22598267.849867046,17.900752029764337
22585101.00632957,17.903899531973483
22571938.33958328,17.90704758761022
22558779.84949111,17.910196196771864
22545664.682998408,17.91334535955571
22532598.98566379,17.91649507605916
22519537.4183336,17.919645346379546
22506479.98087628,17.922796170614248
22493426.67315985,17.925947548860663
22480377.495051924,17.9290994812162
22467332.446419794,17.932251967778285
22454291.52713032,17.935405008644366
22441254.737050105,17.938558603911883
22428222.076045018,17.94171275367837
22415193.543980904,17.9448674580413
22402169.140723087,17.948022717098183
22389148.86613654,17.951178530946557
22376132.720085826,17.954334899683968
22363120.702435095,17.95749182340798
22350112.8130482,17.96064930221618
22337109.05178852,17.96380733620617
22324109.418519225,17.966965925475535
22311113.91310274,17.970125070121973
22298122.53540139,17.973284770243104
22285135.285277102,17.9764450259366
22272152.16259138,17.97960583730014
22259173.1672053,17.98276720443144
22246198.2989796,17.985929127428214
22233227.557774648,17.9890916063882
22220260.94345052,17.992254641409122
22207298.455866538,17.99541823258882
22194340.094882008,17.99858238002505
22181385.860355776,18.001747083815616
22168435.75214623,18.004912344058344
22155489.77011139,18.008078160851074
22142547.91410897,18.011244534291666
22129610.18399622,18.014411464478
22116676.57963016,18.01757895150793
22103747.10086702,18.02074699547943
22090821.747563083,18.023915596490404
22077900.519574035,18.02708475463879
22064983.41675528,18.030254470022548
22052070.438961774,18.033424742739665
22039161.58604808,18.03659557288813
22026325.708668813,18.039766960565963
22013507.722259175,18.042938905871186
22000693.814805385,18.046111408901822
21987883.98616726,18.049284469755996
21975078.236204572,18.052458088531765
21962276.564776603,18.055632265327223
21949478.971742272,18.05880700024049
21936685.45696014,18.061982293369695
21923896.020288285,18.065158144812994
21911110.661584515,18.068334554668557
21898329.380706344,18.071511523034534
21885552.17751052,18.074689050009198
21872779.05185378,18.077867135690727
21860010.003592424,18.08104578017737
21847245.03258227,18.08422498356738
21834484.13867885,18.087404745959024
21821727.321737252,18.090585067450597
21808974.581612196,18.093765948140405
21796225.91815804,18.096947388126768
21783481.33122891,18.100129387508
21770740.820678115,18.103311946382522
21758004.386358995,18.10649506484868
21745272.028124418,18.109678743004867
21732543.745826803,18.11286298094949
21719819.539318234,18.11604777878098
21707099.40845044,18.11923313659778
21694383.353074674,18.12241905449836
21681671.37304206,18.125605532581158
21668963.468202878,18.128792570944743
21656259.638407446,18.13198016968759
21643559.88350554,18.13516832890824
21630864.203346606,18.138357048705238
21618172.597779654,18.141546329177146
21605485.066653363,18.144736170422554
21592801.60981605,18.147926572540058
21580122.227115702,18.151117535628252
21567446.918399572,18.154309059785827
21554775.683514953,18.157501145111414
21542108.522308666,18.160693791703675
21529484.000608597,18.163886999661305
21516905.855207074,18.167080769083
21504331.738270313,18.17027510006749
21491761.6496505,18.173469992713517
21479195.589199543,18.17666544711983
21466633.556769043,18.17986146338518
21454075.55220984,18.183058041608415
21441521.575372793,18.18625518188832
21428971.626108292,18.189452884323718
21416425.704266332,18.192651149013454
21403883.8096965,18.195849976056387
21391345.94224802,18.199049365551403
21378812.101769786,18.202249317597392
21366282.2881104,18.205449832293233
21353756.501117717,18.20865090973793
21341234.74063962,18.211852550030397
21328717.00652344,18.215054753269595
21316203.2986162,18.218257519554513
21303693.616764504,18.221460848984144
21291187.960814547,18.224664741657516
21278686.330612265,18.22786919767366
21266188.726003204,18.231074217131596
21253695.146832258,18.234279800130455
21241205.5929443,18.2374859467693
21228720.064183675,18.240692657147235
21216238.5603944,18.243899931363384
21203761.081420057,18.24710776951688
21191287.627103906,18.250316171706885
21178818.19728881,18.25352513803257
21166352.791817226,18.256734668593133
21153891.41053146,18.259944763487752
21141434.053272948,18.263155422815714
21128980.719883185,18.266366646676232
21116531.410203196,18.269578435168572
21104086.124073584,18.27279078839201
21091644.861334577,18.27600370644585
21079207.621826023,18.279217189429396
21066774.405387472,18.282431237441987
21054345.21185814,18.285645850582938
21041950.992376816,18.28886102895168
21029608.992763396,18.29207677264756
21017270.971546933,18.295293081769998
21004936.928572044,18.298509956418393
20992606.86368298,18.301727396692193
20980280.776723556,18.304945402690848
20967958.667537313,18.308163974513832
20955640.53596733,18.311383112260632
20943326.381856512,18.31460281603072
20931016.20504696,18.317823085923695
20918710.00538084,18.32104392203906
20906407.782699768,18.32426532447637
20894109.536844995,18.327487293335214
20881815.267657448,18.33070982871517
20869524.97497766,18.333932930715868
20857238.65864576,18.33715659943692
20844956.31850166,18.340380834977953
20832677.954384565,18.34360563743869
20820403.5661336,18.34683100691878
20808133.153587442,18.350056943517927
20795866.71658446,18.35328344733584
20783604.2549625,18.356510518472266
20771345.76855918,18.359738157026946
20759091.257211663,18.362966363099655
20746840.720756937,18.366195136790143
20734594.159031175,18.369424478198283
20722351.5718706,18.37265438742387
20710112.959110916,18.375884864566732
20697878.320587456,18.379115909726735
20685647.656135224,18.38234752300375
20673420.965588808,18.385579704497673
20661198.24878243,18.38881245430841
20648979.505549952,18.39204577253589
20636764.735725015,18.39527965928003
20624553.939140473,18.39851411464085
20612347.115629204,18.4017491387183
20600144.265023597,18.40498473161238
20587945.387155633,18.408220893423106
20575750.481856994,18.41145762425051
20563603.86273475,18.41469492419464
20551494.358035915,18.417932793355572
20539388.782086797,18.42117123183335
20527287.134724323,18.424410239728143
